symbol	species	link
SERBP1	hg19	https://www.uniprot.org/uniprot/Q8NC51
WDR3	hg19	https://www.uniprot.org/uniprot/Q9UNX4
MOV10	hg19	https://www.uniprot.org/uniprot/Q9HCE1
NONO	hg19	https://www.uniprot.org/uniprot/Q15233
WTAP	hg19	https://www.uniprot.org/uniprot/Q15007
NOLC1	hg19	https://www.uniprot.org/uniprot/Q14978
IGF2BP1	hg19	https://www.uniprot.org/uniprot/Q9NZI8
SRSF1	hg19	https://www.uniprot.org/uniprot/Q07955
RBM15	hg19	https://www.uniprot.org/uniprot/Q96T37
SRSF7	hg19	https://www.uniprot.org/uniprot/Q16629
TROVE2	hg19	https://www.uniprot.org/uniprot/P10155
RBM22	hg19	https://www.uniprot.org/uniprot/Q9NW64
C22ORF28	hg19	https://www.uniprot.org/uniprot/Q9Y3I0
Nova	hg19	
Rbm3	hg19	https://www.uniprot.org/uniprot/P98179
DDX52	hg19	https://www.uniprot.org/uniprot/Q9Y2R4
CDC40	hg19	https://www.uniprot.org/uniprot/O60508
U2AF2	hg19	https://www.uniprot.org/uniprot/P26368
WDR43	hg19	https://www.uniprot.org/uniprot/Q15061
RBFOX2	hg19	https://www.uniprot.org/uniprot/O43251
GRWD1	hg19	https://www.uniprot.org/uniprot/Q9BQ67
IGF2BP3	hg19	https://www.uniprot.org/uniprot/O00425
SDAD1	hg19	https://www.uniprot.org/uniprot/Q9NVU7
SLBP	hg19	https://www.uniprot.org/uniprot/Q14493
RPS3	hg19	https://www.uniprot.org/uniprot/P23396
YBX3	hg19	https://www.uniprot.org/uniprot/P16989
RBM10	hg19	https://www.uniprot.org/uniprot/P98175
HLTF	hg19	https://www.uniprot.org/uniprot/Q14527
SUPV3L1	hg19	https://www.uniprot.org/uniprot/Q8IYB8
PRPF8	hg19	https://www.uniprot.org/uniprot/Q6P2Q9
nElavl	hg19	
GPKOW	hg19	https://www.uniprot.org/uniprot/Q92917
BCLAF1	hg19	https://www.uniprot.org/uniprot/Q9NYF8
UCHL5	hg19	https://www.uniprot.org/uniprot/Q9Y5K5
LIN28A	hg19	https://www.uniprot.org/uniprot/Q9H9Z2
METTL3	hg19	https://www.uniprot.org/uniprot/Q86U44
PUM1	hg19	https://www.uniprot.org/uniprot/Q14671
NIP7	hg19	https://www.uniprot.org/uniprot/Q9Y221
STAU2	hg19	https://www.uniprot.org/uniprot/Q9NUL3
RBM5	hg19	https://www.uniprot.org/uniprot/P52756
RPS11	hg19	https://www.uniprot.org/uniprot/P62280
DDX42	hg19	https://www.uniprot.org/uniprot/Q86XP3
U2AF1	hg19	https://www.uniprot.org/uniprot/P0DN76
PCBP2	hg19	https://www.uniprot.org/uniprot/Q15366
DDX21	hg19	https://www.uniprot.org/uniprot/Q9NR30
SF3A3	hg19	https://www.uniprot.org/uniprot/Q12874
ELAVL1MNASE	hg19	
DDX24	hg19	https://www.uniprot.org/uniprot/Q9GZR7
TDP-43	hg19	https://www.uniprot.org/uniprot/Q13148
ZRANB2	hg19	https://www.uniprot.org/uniprot/O95218
FKBP4	hg19	https://www.uniprot.org/uniprot/Q02790
Mbnl1	hg19	https://www.uniprot.org/uniprot/Q9NR56
PABPC4	hg19	https://www.uniprot.org/uniprot/Q13310
HuRMNase	hg19	
UTP18	hg19	https://www.uniprot.org/uniprot/Q9Y5J1
XRCC6	hg19	https://www.uniprot.org/uniprot/P12956
FXR2	hg19	https://www.uniprot.org/uniprot/P51116
C17ORF85	hg19	https://www.uniprot.org/uniprot/Q53F19
NCBP2	hg19	https://www.uniprot.org/uniprot/P52298
HNRNPC	hg19	https://www.uniprot.org/uniprot/P07910
NIPBL	hg19	https://www.uniprot.org/uniprot/Q6KC79
HNRNPUL1	hg19	https://www.uniprot.org/uniprot/Q9BUJ2
KHSRP	hg19	https://www.uniprot.org/uniprot/Q92945
APOBEC3C	hg19	https://www.uniprot.org/uniprot/Q9NRW3
PUM2	hg19	https://www.uniprot.org/uniprot/Q8TB72
MATR3	hg19	https://www.uniprot.org/uniprot/P43243
FXR1	hg19	https://www.uniprot.org/uniprot/P51114
SBDS	hg19	https://www.uniprot.org/uniprot/Q9Y3A5
DDX3X	hg19	https://www.uniprot.org/uniprot/O00571
AATF	hg19	https://www.uniprot.org/uniprot/Q9NY61
Mbnl2	hg19	https://www.uniprot.org/uniprot/Q5VZF2
FASTKD2	hg19	https://www.uniprot.org/uniprot/Q9NYY8
LARP4	hg19	https://www.uniprot.org/uniprot/Q71RC2
AGO1234	hg19	
EZH2	hg19	https://www.uniprot.org/uniprot/Q15910
BUD13	hg19	https://www.uniprot.org/uniprot/Q9BRD0
NPM1	hg19	https://www.uniprot.org/uniprot/P06748
GNL3	hg19	https://www.uniprot.org/uniprot/Q9BVP2
PPIG	hg19	https://www.uniprot.org/uniprot/Q13427
GTF2F1	hg19	https://www.uniprot.org/uniprot/P35269
FOX2	hg19	https://www.uniprot.org/uniprot/O43251
DDX6	hg19	https://www.uniprot.org/uniprot/P26196
HuR	hg19	https://www.uniprot.org/uniprot/Q15717
EIF3D	hg19	https://www.uniprot.org/uniprot/O15371
POLR2G	hg19	https://www.uniprot.org/uniprot/P62487
SLTM	hg19	https://www.uniprot.org/uniprot/Q9NWH9
NKRF	hg19	https://www.uniprot.org/uniprot/O15226
FMR1	hg19	https://www.uniprot.org/uniprot/Q06787
SUB1	hg19	https://www.uniprot.org/uniprot/P53999
UTP3	hg19	https://www.uniprot.org/uniprot/Q9NQZ2
WRN	hg19	https://www.uniprot.org/uniprot/Q14191
TAF15	hg19	https://www.uniprot.org/uniprot/Q92804
HNRNPA1	hg19	https://www.uniprot.org/uniprot/P09651
AGO2	hg19	https://www.uniprot.org/uniprot/Q9UKV8
AQR	hg19	https://www.uniprot.org/uniprot/O60306
EIF4G2	hg19	https://www.uniprot.org/uniprot/P78344
YWHAG	hg19	https://www.uniprot.org/uniprot/P61981
ABCF1	hg19	https://www.uniprot.org/uniprot/Q8NE71
METAP2	hg19	https://www.uniprot.org/uniprot/P50579
TBRG4	hg19	https://www.uniprot.org/uniprot/Q969Z0
HNRNPM	hg19	https://www.uniprot.org/uniprot/P52272
FAM120A	hg19	https://www.uniprot.org/uniprot/Q9NZB2
NOL12	hg19	https://www.uniprot.org/uniprot/Q9UGY1
SF3B1	hg19	https://www.uniprot.org/uniprot/O75533
Cirbp	hg19	https://www.uniprot.org/uniprot/Q14011
HNRNPK	hg19	https://www.uniprot.org/uniprot/P61978
Ago2	hg19	https://www.uniprot.org/uniprot/Q9UKV8
FTO	hg19	https://www.uniprot.org/uniprot/Q9C0B1
DDX55	hg19	https://www.uniprot.org/uniprot/Q8NHQ9
UPF1	hg19	https://www.uniprot.org/uniprot/Q92900
ZC3H11A	hg19	https://www.uniprot.org/uniprot/O75152
LIN28	hg19	
EIF3H	hg19	https://www.uniprot.org/uniprot/O15372
ZNF800	hg19	https://www.uniprot.org/uniprot/Q2TB10
Ago2MNase	hg19	
DDX51	hg19	https://www.uniprot.org/uniprot/Q8N8A6
SFPQ	hg19	https://www.uniprot.org/uniprot/P23246
IGF2BP123	hg19	
Rbfox	hg19	
SUGP2	hg19	https://www.uniprot.org/uniprot/Q8IX01
EIF3G	hg19	https://www.uniprot.org/uniprot/O75821
SAFB2	hg19	https://www.uniprot.org/uniprot/Q14151
PCBP1	hg19	https://www.uniprot.org/uniprot/Q15365
SND1	mm9	https://www.uniprot.org/uniprot/Q78PY7
SRSF2	mm9	https://www.uniprot.org/uniprot/Q62093
IGF2BP2	mm9	https://www.uniprot.org/uniprot/Q5SF07
QKI	mm9	https://www.uniprot.org/uniprot/Q9QYS9
SF3B4	mm9	https://www.uniprot.org/uniprot/Q8QZY9
SAFB	mm9	https://www.uniprot.org/uniprot/D3YXK2
SRSF9	mm9	https://www.uniprot.org/uniprot/Q9D0B0
HNRNPL	mm9	https://www.uniprot.org/uniprot/Q8R081
TRA2A	mm9	https://www.uniprot.org/uniprot/Q6PFR5
PPIL4	mm9	https://www.uniprot.org/uniprot/Q9CXG3
MTPAP	mm9	https://www.uniprot.org/uniprot/Q9D0D3
EWSR1	mm9	https://www.uniprot.org/uniprot/Q61545
CSTF2	mm9	https://www.uniprot.org/uniprot/Q8BIQ5
ELAVL1	mm9	https://www.uniprot.org/uniprot/P70372
CPSF6	mm9	https://www.uniprot.org/uniprot/Q6NVF9
AARS	mm9	https://www.uniprot.org/uniprot/Q8BGQ7
ILF3	mm9	https://www.uniprot.org/uniprot/Q9Z1X4
CAPRIN1	mm9	https://www.uniprot.org/uniprot/Q60865
SSB	mm9	https://www.uniprot.org/uniprot/P32067
NSUN2	mm9	https://www.uniprot.org/uniprot/Q1HFZ0
PABPN1	mm9	https://www.uniprot.org/uniprot/Q8CCS6
SFRS1	mm9	https://www.uniprot.org/uniprot/Q6PDM2
EFTUD2	mm9	https://www.uniprot.org/uniprot/O08810
DROSHA	mm9	https://www.uniprot.org/uniprot/Q5HZJ0
DKC1	mm9	https://www.uniprot.org/uniprot/Q9ESX5
ELAVL1A	mm9	
TARDBP	mm9	https://www.uniprot.org/uniprot/Q921F2
ZNF622	mm9	https://www.uniprot.org/uniprot/Q91VY9
EIF4A3	mm9	https://www.uniprot.org/uniprot/Q91VC3
TIAL1	mm9	https://www.uniprot.org/uniprot/P70318
TIA1	mm9	https://www.uniprot.org/uniprot/P52912
GEMIN5	mm9	https://www.uniprot.org/uniprot/Q8BX17
FUBP3	mm9	
BCCIP	mm9	https://www.uniprot.org/uniprot/Q9CWI3
FUS	mm9	https://www.uniprot.org/uniprot/P56959
CSTF2T	mm9	https://www.uniprot.org/uniprot/Q8C7E9
G3BP1	mm9	https://www.uniprot.org/uniprot/P97855
ALKBH5	mm9	https://www.uniprot.org/uniprot/Q3TSG4
CPEB4	mm9	https://www.uniprot.org/uniprot/Q7TN98
LIN28B	mm9	https://www.uniprot.org/uniprot/Q45KJ6
AKAP8L	mm9	https://www.uniprot.org/uniprot/Q9R0L7
PTBP1	mm9	https://www.uniprot.org/uniprot/P17225
DDX59	mm9	https://www.uniprot.org/uniprot/Q9DBN9
AKAP1	mm9	https://www.uniprot.org/uniprot/O08715
DGCR8	mm9	https://www.uniprot.org/uniprot/Q9EQM6
AGGF1	mm9	https://www.uniprot.org/uniprot/Q7TN31
XPO5	mm9	https://www.uniprot.org/uniprot/Q924C1
PRPF4	mm9	https://www.uniprot.org/uniprot/Q9DAW6
EXOSC5	mm9	https://www.uniprot.org/uniprot/Q9CRA8
GRSF1	mm9	https://www.uniprot.org/uniprot/Q8C5Q4
PUS1	mm9	https://www.uniprot.org/uniprot/Q9WU56
Ago	mm9	
PHF6	mm9	https://www.uniprot.org/uniprot/Q9D4J7
SMNDC1	mm9	https://www.uniprot.org/uniprot/Q8BGT7
XRN2	mm9	https://www.uniprot.org/uniprot/Q9DBR1
JARID2	mm9	https://www.uniprot.org/uniprot/Q62315
ZC3H8	mm9	https://www.uniprot.org/uniprot/Q9JJ48
LARP7	mm9	https://www.uniprot.org/uniprot/Q05CL8
KHDRBS1	mm9	https://www.uniprot.org/uniprot/Q60749
HNRNPU	mm9	https://www.uniprot.org/uniprot/Q8VEK3
DHX30	mm9	https://www.uniprot.org/uniprot/Q99PU8
LSM11	mm9	https://www.uniprot.org/uniprot/Q8BUV6
ZC3H7B	mm9	
SERBP1	mm9	https://www.uniprot.org/uniprot/Q9CY58
WDR3	mm9	https://www.uniprot.org/uniprot/Q8BHB4
MOV10	mm9	https://www.uniprot.org/uniprot/P23249
NONO	mm9	https://www.uniprot.org/uniprot/Q99K48
WTAP	mm9	https://www.uniprot.org/uniprot/Q9ER69
NOLC1	mm9	https://www.uniprot.org/uniprot/E9Q5C9
IGF2BP1	mm9	https://www.uniprot.org/uniprot/O88477
SRSF1	mm9	https://www.uniprot.org/uniprot/Q6PDM2
RBM15	mm9	https://www.uniprot.org/uniprot/Q0VBL3
SRSF7	mm9	https://www.uniprot.org/uniprot/Q8BL97
TROVE2	mm9	https://www.uniprot.org/uniprot/O08848
RBM22	mm9	https://www.uniprot.org/uniprot/Q8BHS3
C22ORF28	mm9	
Nova	mm9	
Rbm3	mm9	https://www.uniprot.org/uniprot/O89086
DDX52	mm9	https://www.uniprot.org/uniprot/Q8K301
CDC40	mm9	https://www.uniprot.org/uniprot/Q9DC48
U2AF2	mm9	https://www.uniprot.org/uniprot/P26369
WDR43	mm9	https://www.uniprot.org/uniprot/Q6ZQL4
RBFOX2	mm9	https://www.uniprot.org/uniprot/Q8BP71
GRWD1	mm9	https://www.uniprot.org/uniprot/Q810D6
IGF2BP3	mm9	https://www.uniprot.org/uniprot/Q9CPN8
SDAD1	mm9	https://www.uniprot.org/uniprot/Q80UZ2
SLBP	mm9	https://www.uniprot.org/uniprot/P97440
RPS3	mm9	https://www.uniprot.org/uniprot/P62908
YBX3	mm9	https://www.uniprot.org/uniprot/Q9JKB3
RBM10	mm9	https://www.uniprot.org/uniprot/Q99KG3
HLTF	mm9	https://www.uniprot.org/uniprot/Q6PCN7
SUPV3L1	mm9	https://www.uniprot.org/uniprot/Q80YD1
PRPF8	mm9	https://www.uniprot.org/uniprot/Q99PV0
nElavl	mm9	
GPKOW	mm9	https://www.uniprot.org/uniprot/Q56A08
BCLAF1	mm9	https://www.uniprot.org/uniprot/Q8K019
UCHL5	mm9	https://www.uniprot.org/uniprot/Q9WUP7
LIN28A	mm9	https://www.uniprot.org/uniprot/Q8K3Y3
METTL3	mm9	https://www.uniprot.org/uniprot/Q8C3P7
PUM1	mm9	https://www.uniprot.org/uniprot/Q80U78
NIP7	mm9	https://www.uniprot.org/uniprot/Q9CXK8
STAU2	mm9	https://www.uniprot.org/uniprot/Q8CJ67
RBM5	mm9	https://www.uniprot.org/uniprot/Q91YE7
RPS11	mm9	https://www.uniprot.org/uniprot/P62281
DDX42	mm9	https://www.uniprot.org/uniprot/Q810A7
U2AF1	mm9	https://www.uniprot.org/uniprot/Q9D883
PCBP2	mm9	https://www.uniprot.org/uniprot/Q61990
DDX21	mm9	https://www.uniprot.org/uniprot/Q9JIK5
SF3A3	mm9	https://www.uniprot.org/uniprot/Q9D554
ELAVL1MNASE	mm9	
DDX24	mm9	https://www.uniprot.org/uniprot/Q9ESV0
TDP-43	mm9	https://www.uniprot.org/uniprot/Q921F2
ZRANB2	mm9	https://www.uniprot.org/uniprot/Q9R020
FKBP4	mm9	https://www.uniprot.org/uniprot/P30416
Mbnl1	mm9	https://www.uniprot.org/uniprot/Q9JKP5
PABPC4	mm9	
HuRMNase	mm9	
UTP18	mm9	https://www.uniprot.org/uniprot/Q5SSI6
XRCC6	mm9	https://www.uniprot.org/uniprot/P23475
FXR2	mm9	https://www.uniprot.org/uniprot/Q9WVR4
C17ORF85	mm9	
NCBP2	mm9	https://www.uniprot.org/uniprot/Q9CQ49
HNRNPC	mm9	https://www.uniprot.org/uniprot/Q9Z204
NIPBL	mm9	https://www.uniprot.org/uniprot/Q6KCD5
HNRNPUL1	mm9	https://www.uniprot.org/uniprot/Q8VDM6
KHSRP	mm9	https://www.uniprot.org/uniprot/Q3U0V1
APOBEC3C	mm9	
PUM2	mm9	https://www.uniprot.org/uniprot/Q80U58
MATR3	mm9	https://www.uniprot.org/uniprot/Q8K310
FXR1	mm9	https://www.uniprot.org/uniprot/Q61584
SBDS	mm9	https://www.uniprot.org/uniprot/P70122
DDX3X	mm9	https://www.uniprot.org/uniprot/Q62167
AATF	mm9	https://www.uniprot.org/uniprot/Q9JKX4
Mbnl2	mm9	https://www.uniprot.org/uniprot/Q8C181
FASTKD2	mm9	https://www.uniprot.org/uniprot/Q922E6
LARP4	mm9	https://www.uniprot.org/uniprot/Q8BWW4
AGO1234	mm9	
EZH2	mm9	https://www.uniprot.org/uniprot/Q61188
BUD13	mm9	https://www.uniprot.org/uniprot/Q8R149
NPM1	mm9	https://www.uniprot.org/uniprot/Q61937
GNL3	mm9	https://www.uniprot.org/uniprot/Q8CI11
PPIG	mm9	https://www.uniprot.org/uniprot/A2AR02
GTF2F1	mm9	https://www.uniprot.org/uniprot/Q3THK3
FOX2	mm9	https://www.uniprot.org/uniprot/Q8BP71
DDX6	mm9	https://www.uniprot.org/uniprot/P54823
HuR	mm9	
EIF3D	mm9	https://www.uniprot.org/uniprot/O70194
POLR2G	mm9	https://www.uniprot.org/uniprot/P62488
SLTM	mm9	https://www.uniprot.org/uniprot/Q8CH25
NKRF	mm9	https://www.uniprot.org/uniprot/Q8BY02
FMR1	mm9	https://www.uniprot.org/uniprot/P35922
SUB1	mm9	https://www.uniprot.org/uniprot/P11031
UTP3	mm9	https://www.uniprot.org/uniprot/Q9JI13
WRN	mm9	https://www.uniprot.org/uniprot/O09053
TAF15	mm9	
HNRNPA1	mm9	https://www.uniprot.org/uniprot/P49312
AGO2	mm9	https://www.uniprot.org/uniprot/Q8CJG0
AQR	mm9	https://www.uniprot.org/uniprot/Q8CFQ3
EIF4G2	mm9	https://www.uniprot.org/uniprot/Q62448
YWHAG	mm9	https://www.uniprot.org/uniprot/P61982
ABCF1	mm9	https://www.uniprot.org/uniprot/Q6P542
METAP2	mm9	https://www.uniprot.org/uniprot/O08663
TBRG4	mm9	https://www.uniprot.org/uniprot/Q91YM4
HNRNPM	mm9	https://www.uniprot.org/uniprot/Q9D0E1
FAM120A	mm9	https://www.uniprot.org/uniprot/Q6A0A9
NOL12	mm9	https://www.uniprot.org/uniprot/Q8BG17
SF3B1	mm9	https://www.uniprot.org/uniprot/Q99NB9
Cirbp	mm9	https://www.uniprot.org/uniprot/P60824
HNRNPK	mm9	https://www.uniprot.org/uniprot/P61979
Ago2	mm9	https://www.uniprot.org/uniprot/Q8CJG0
FTO	mm9	https://www.uniprot.org/uniprot/Q8BGW1
DDX55	mm9	https://www.uniprot.org/uniprot/Q6ZPL9
UPF1	mm9	https://www.uniprot.org/uniprot/Q9EPU0
ZC3H11A	mm9	https://www.uniprot.org/uniprot/Q6NZF1
LIN28	mm9	
EIF3H	mm9	https://www.uniprot.org/uniprot/Q91WK2
ZNF800	mm9	https://www.uniprot.org/uniprot/Q0VEE6
Ago2MNase	mm9	
DDX51	mm9	https://www.uniprot.org/uniprot/Q6P9R1
SFPQ	mm9	https://www.uniprot.org/uniprot/Q8VIJ6
IGF2BP123	mm9	
Rbfox	mm9	
SUGP2	mm9	https://www.uniprot.org/uniprot/Q8CH09
EIF3G	mm9	https://www.uniprot.org/uniprot/Q9Z1D1
SAFB2	mm9	https://www.uniprot.org/uniprot/Q80YR5
PCBP1	mm9	https://www.uniprot.org/uniprot/P60335
